title,company,location,department,contract_type,remote,sector,publication_date,experience_years,education_level,salaire_min,salaire_max,annual,tools,concepts,job_url,avg_salary,categories
Contract Manager,Equans France,Guyancourt,78,CDI,Hybrid,Construction,2024-12-16,8.0,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/59533987.html,,['Other']
Data Manager,S&You,La Talaudière,42,CDI,Onsite,,2024-12-20,7.0,4.0,60000.0,70000.0,True,"['Microsoft SSAS', 'SQL Server', 'Oracle', 'Power BI']","['Business Intelligence', 'ETL', 'KPI']",https://www.hellowork.com/fr-fr/emplois/58495307.html,65000.0,['Data Governance & Quality']
Flying Technical Data Engineer - Avionics Systems Maintenance,Airbus,Toulouse,31,CDI,Hybrid,Aerospace,2024-12-10,0.0,5.0,,,,[],"['Aircraft Maintenance', 'Avionics Systems', 'Project Management', 'Documentation', 'Technical Data']",https://www.hellowork.com/fr-fr/emplois/59372516.html,,['Data Engineer']
Business Analyst Swift,Libellio,Paris,75,CDI,Hybrid,,2024-12-09,7.0,5.0,55000.0,70000.0,True,"['Dataiku', 'PowerBI', 'JIRA']",,https://www.hellowork.com/fr-fr/emplois/58112046.html,62500.0,['Other']
Data Analyst Expérimenté,EY,La Défense,92,CDI,Hybrid,Technology,2024-12-18,,5.0,,,,"['Power BI', 'Tableau', 'SQL', 'R', 'Python']","['Data Analytics', 'Data Visualization', 'Big Data', 'Cloud Computing', 'Data Processing']",https://www.hellowork.com/fr-fr/emplois/59646278.html,,['Data Analyst']
Consultant Expérimenté Reporting & Digital Finance Transformation,EY,Rouen,76,CDI,Hybrid,Technology,2024-12-09,2.0,5.0,,,,"['Alteryx', 'Blackline', 'UiPath', 'Blueprism', 'PowerBI']","['Digital Transformation', 'Finance', 'Data Visualization', 'Robotic Process Automation', 'Business Intelligence']",https://www.hellowork.com/fr-fr/emplois/56844673.html,,['Other']
Data Analyst - Data Engineer Power Bi,Camo Groupe,Saint-Avold,57,CDI,Onsite,,2024-12-18,7.0,5.0,,,,"['Power BI', 'Python', 'SQL', 'ETL', 'R']","['Business Intelligence', 'Data Analysis', 'Data Engineering']",https://www.hellowork.com/fr-fr/emplois/57199743.html,,"['Data Analyst', 'Data Engineer']"
HR Data Analyst,HSBC,Courbevoie,92,CDI,Hybrid,,2024-11-26,2.0,5.0,,,,"['Power BI', 'Word', 'Excel', 'PowerPoint', 'Teams']",,https://www.hellowork.com/fr-fr/emplois/58797353.html,,['Data Analyst']
Chargé de Projet Géomarketing,JCDecaux,Neuilly-sur-Seine,92,CDI,Onsite,Media,2024-12-11,1.0,4.0,,,,"['Géoconcept', 'MAP info', 'ArcGIS', 'Alteryx', 'Pack Office']","['Géomarketing', 'SIG', 'Digital Transformation', 'Data Analysis', 'Sales Tools']",https://www.hellowork.com/fr-fr/emplois/59411061.html,,['Project Manager (Data)']
Assistant Comptable,FITECO,La Flèche,72,CDI,Hybrid,IT,2024-11-26,,2.0,25000.0,27500.0,True,['SAGE'],,https://www.hellowork.com/fr-fr/emplois/58762177.html,26250.0,['Other']
